date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:23	1639010/1639010	---MCZ	200	added ('OK')	text/html	etag:W/%2218f057-kRk1A/hb5ICyWJjsmwOYXJXGnOM%22	https://elcomercio.pe/ultimas-noticias/	C:/proyectoHtrack/ANGIE/elcomercio.pe/ultimas-noticias/index.html	(from https://elcomercio.pe/)
20:04:23	1293090/1293090	---MCZ	200	added ('OK')	text/html	etag:W/%2213a917-ItNv+OkOcRj0p5DCAH7sJrInqGo%22	https://elcomercio.pe/corresponsales-escolares/	C:/proyectoHtrack/ANGIE/elcomercio.pe/corresponsales-escolares/index.html	(from https://elcomercio.pe/)
20:04:24	121919/121919	---M--	200	added ('OK')	image/jpeg	etag:%22d6f66cbd52ec28cc1bbd410fb811440f4db718a1%22	https://elcomercio.pe/resizer/0wL4YE2z_3IrjqtVDeMLJyjz2tg=/arc-anglerfish-arc2-prod-elcomercio/public/QFQUQ4N5GVHW7GTVCUWPMH2PEU.png	C:/proyectoHtrack/ANGIE/elcomercio.pe/resizer/0wL4YE2z_3IrjqtVDeMLJyjz2tg=/arc-anglerfish-arc2-prod-elcomercio/public/QFQUQ4N5GVHW7GTVCUWPMH2PEU.jpg	(from https://elcomercio.pe/)
20:04:24	155550/155550	---M-Z	200	added ('OK')	text/html	etag:W/%2224d92-4eG0sY4b2PPkQeeN/KlMbK2Dfi8%22	https://elcomercio.pe/juegos/	C:/proyectoHtrack/ANGIE/elcomercio.pe/juegos/index.html	(from https://elcomercio.pe/)
20:04:24	231215/231215	---M-Z	200	added ('OK')	text/html	etag:W/%2237523-Jao6RsJugTzZ+LtUZq3JDxs08IE%22	https://elcomercio.pe/elecciones/	C:/proyectoHtrack/ANGIE/elcomercio.pe/elecciones/index.html	(from https://elcomercio.pe/)
20:04:24	1200874/1200874	---MCZ	200	added ('OK')	text/html	etag:W/%221240df-gFCHc4Of5nj6DnBMh4FkEvEejyE%22	https://elcomercio.pe/newsletters/	C:/proyectoHtrack/ANGIE/elcomercio.pe/newsletters/index.html	(from https://elcomercio.pe/)
20:04:25	624/624	---M--	200	added ('OK')	binary/octet-stream	etag:%22509f49d6dd081d178490652b0bbeecd5%22	https://cdna.elcomercio.pe/resources/dist/elcomercio/images/default-md.png	C:/proyectoHtrack/ANGIE/cdna.elcomercio.pe/resources/dist/elcomercio/images/default-md.png	(from https://elcomercio.pe/)
20:04:25	1336041/1336041	---MCZ	200	added ('OK')	text/html	etag:W/%221450de-SPIAXEZCJJ6yqN1N6V23Geihd+E%22	https://elcomercio.pe/podcast/	C:/proyectoHtrack/ANGIE/elcomercio.pe/podcast/index.html	(from https://elcomercio.pe/)
20:04:25	208584/208584	---M-Z	200	added ('OK')	text/html	etag:W/%2231cbd-WFEKYS/x9/MX5+XSlDyAfLYi75Q%22	https://elcomercio.pe/noticias/coronavirus/	C:/proyectoHtrack/ANGIE/elcomercio.pe/noticias/coronavirus/index.html	(from https://elcomercio.pe/)
20:04:25	1310707/1310707	---MCZ	200	added ('OK')	text/html	etag:W/%2213ede9-Rjb8VOXOGCQ3AYqQEKo67BYrn/I%22	https://elcomercio.pe/el-comercio-tv/	C:/proyectoHtrack/ANGIE/elcomercio.pe/el-comercio-tv/index.html	(from https://elcomercio.pe/)
20:04:26	89593/89593	---M-Z	200	added ('OK')	text/html	etag:W/%2214bee-0Dl8sM1qSwihfCY7tR68Dmmq/+g%22	https://elcomercio.pe/provecho/	C:/proyectoHtrack/ANGIE/elcomercio.pe/provecho/index.html	(from https://elcomercio.pe/)
20:04:26	27080/27080	---M--	200	added ('OK')	image/png	etag:%229e3a3904a208fcb9fb5f327487bb76bd%22	https://cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2MUKBBFH45GVHBYYVKKQQJ2FPM.png	C:/proyectoHtrack/ANGIE/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2MUKBBFH45GVHBYYVKKQQJ2FPM.png	(from https://elcomercio.pe/)
